Serial Number:20555870 --

"Date Time, GMT -1000","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2022-07-15 08:50:00,22.69,36, , , , , 
2022-07-15 08:52:00,22.69,57, , , , , 
2022-07-15 08:54:00,22.73,31, , , , , 
2022-07-15 08:56:00,22.73,39, , , , , 
2022-07-15 08:58:00,22.78,32, , , , , 
2022-07-15 09:00:00,22.78,41, , , , , 
2022-07-15 09:02:00,22.86,41, , , , , 
2022-07-15 09:04:00,22.86,40, , , , , 
2022-07-15 09:06:00,22.91,33, , , , , 
2022-07-15 09:08:00,22.95,35, , , , , 
2022-07-15 09:10:00,22.99,52, , , , , 
2022-07-15 09:12:00,22.99,33, , , , , 
2022-07-15 09:14:00,23.08,32, , , , , 
2022-07-15 09:16:00,23.08,36, , , , , 
2022-07-15 09:18:00,23.12,33, , , , , 
2022-07-15 09:20:00,23.12,34, , , , , 
2022-07-15 09:22:00,23.21,36, , , , , 
2022-07-15 09:24:00,23.21,37, , , , , 
2022-07-15 09:26:00,23.25,35, , , , , 
2022-07-15 09:28:00,23.25,38, , , , , 
2022-07-15 09:30:00,23.29,37, , , , , 
2022-07-15 09:32:00,23.34,37, , , , , 
2022-07-15 09:34:00,23.38,46, , , , , 
2022-07-15 09:36:00,23.42,51, , , , , 
2022-07-15 09:38:00,23.42,95, , , , , 
2022-07-15 09:40:00,23.51,44, , , , , 
2022-07-15 09:42:00,23.46,59, , , , , 
2022-07-15 09:44:00,23.51,45, , , , , 
2022-07-15 09:46:00,23.55,74, , , , , 
2022-07-15 09:48:00,23.59,111, , , , , 
2022-07-15 09:50:00,23.59,163, , , , , 
2022-07-15 09:52:00,23.68,145, , , , , 
2022-07-15 09:54:00,23.81,100, , , , , 
2022-07-15 09:56:00,23.76,98, , , , , 
2022-07-15 09:58:00,23.81,78, , , , , 
