7530-428102
OS REV: 1.05 Sensor Cal: 1572940800
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1656641040, +2.74, +27.400, +194.63173, +104.000, +1292.000, +623.000
1656641160, +2.74, +27.400, +98.06787, +100.000, +1289.000, +620.000
1656641280, +2.74, +27.367, +102.70036, +104.000, +1295.000, +625.000
1656641400, +2.74, +27.375, +96.75492, +104.000, +1292.000, +624.000
1656641520, +2.74, +27.359, +90.27687, +100.000, +1295.000, +623.000
1656641640, +2.74, +27.342, +202.06662, +67.000, +1216.000, +705.000
1656641760, +2.74, +27.359, +205.99000, +100.000, +1292.000, +620.000
1656641880, +2.74, +27.350, +196.89223, +98.000, +1287.000, +627.000
1656642000, +2.74, +27.350, +152.96720, +104.000, +1288.000, +625.000
1656642120, +2.74, +27.334, +65.96869, +67.000, +1217.000, +704.000
1656642240, +2.74, +27.334, +51.14224, +67.000, +1217.000, +705.000
1656642360, +2.74, +27.317, +48.27171, +67.000, +1216.000, +707.000
1656642480, +2.74, +27.293, +40.51477, +96.000, +1294.000, +627.000
1656642600, +2.74, +27.276, +36.09285, +65.000, +1217.000, +707.000
1656642720, +2.74, +27.260, +40.59528, +96.000, +1292.000, +623.000
1656642840, +2.74, +27.276, +42.34485, +102.000, +1291.000, +625.000
1656642960, +2.74, +27.251, +45.96476, +67.000, +1216.000, +705.000
1656643080, +2.74, +27.251, +40.03790, +96.000, +1292.000, +625.000
1656643200, +2.74, +27.243, +39.45574, +104.000, +1295.000, +621.000
1656643320, +2.74, +27.218, +38.51438, +67.000, +1216.000, +705.000
1656643440, +2.74, +27.218, +31.05780, +96.000, +1287.000, +627.000
1656643560, +2.74, +27.161, +30.68002, +67.000, +1216.000, +707.000
1656643680, +2.74, +27.177, +31.26837, +104.000, +1296.000, +623.000
1656643800, +2.74, +27.169, +24.69742, +67.000, +1216.000, +705.000
1656643920, +2.74, +27.169, +22.67226, +102.000, +1287.000, +623.000
1656644040, +2.74, +27.144, +22.11797, +67.000, +1217.000, +707.000
1656644160, +2.74, +27.136, +23.44330, +67.000, +1216.000, +704.000
1656644280, +2.74, +27.103, +20.27240, +67.000, +1216.000, +704.000
1656644400, +2.74, +27.119, +16.43883, +65.000, +1217.000, +705.000
1656644520, +2.74, +27.086, +13.30819, +67.000, +1216.000, +710.000
1656644640, +2.74, +27.086, +11.04768, +67.000, +1216.000, +707.000
1656644760, +2.74, +27.078,  +9.62635, +67.000, +1216.000, +704.000
1656644880, +2.74, +27.078,  +8.06257, +67.000, +1216.000, +705.000
